contentid,title,swim_available,surf_available,marine_trip_available
126098,일광해수욕장,True,False,True
126079,다대포해수욕장,True,True,True
1939570,임랑해수욕장,True,False,True
126080,송정해수욕장,True,True,True
126078,광안리해수욕장,True,False,True
126081,해운대해수욕장,True,False,True
126122,부산 송도해수욕장,True,False,True
1878262,[부산 갈맷길] 2코스 2구간,False,False,True
2704645,[해파랑길] 2코스,False,False,True
126658,태종대,False,False,True
129156,가덕도 등대,False,False,True
2775565,학리항(학리방파제),False,False,True
2749611,지오클럽,False,False,True
2741535,임랑카라반파크,False,False,True
131087,용호동일대 바다낚시,False,False,True
2784112,송정서핑학교,False,False,True
2557807,송도 구름산책로,False,False,True
2789488,미포정거장,False,False,True
2381567,문탠로드,False,False,True
2614716,두도,False,False,True
2747589,더무빙 카라반,False,False,True
2708019,광안리 SUP Zone,False,False,True
2708164,해안누리길 몰운대길,False,False,True
1945309,이기대,False,False,True
