contentid,contenttypeid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,cat1,cat2,cat3,tel,firstimage,createdtime,modifiedtime,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,firstimage2,cpyrhtDivCd,mlevel
129156,12,가덕도 등대,부산광역시 강서구 외양포로 10,,6,1,128.8295937487,35.0006471157,A01,A0101,A01011600,,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image2_1.jpg,20060719090000,20250318220404,46771,26,440,VE,VE01,VE010800,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image3_1.jpg,Type3,6
2726843,12,가덕도 연대봉,부산광역시 강서구 천성동,,6,1,128.8216713782,35.0317518247,A01,A0101,A01010400,,,20210723203306,20250325102838,,26,440,NA,NA01,NA010100,,,6
2845011,39,가마솥생복집,부산광역시 기장군 차성로 327-2 가마솥생복집,,6,3,129.2134452993,35.2470210453,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/05/2845005_image2_1.jpg,20220829144708,20250828133132,46060,26,710,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/05/2845005_image3_1.jpg,Type3,6
2778443,39,가야포차선지국,부산광역시 기장군 정관읍 정관8로 28,,6,3,129.1788934446,35.3223258488,A05,A0502,A05020100,,,20211124191046,20250325143557,46015,26,710,FD,FD01,FD010100,,,6
849929,39,가야할매 밀면,부산광역시 연제구 월드컵대로145번길 32,,6,13,129.0798725132,35.1851949389,A05,A0502,A05020100,,,20091030211645,20250307142014,47540,26,470,FD,FD01,FD010100,,,6
1935608,12,가톨릭 특성화 거리,부산광역시 금정구 부곡동,,6,2,129.0970388630,35.2434553947,A02,A0203,A02030600,,http://tong.visitkorea.or.kr/cms/resource/44/3552344_image2_1.jpg,20140718193257,20251023143000,46267,26,410,VE,VE04,VE040100,http://tong.visitkorea.or.kr/cms/resource/44/3552344_image3_1.jpg,Type1,6
2785289,12,감지해변,부산광역시 영도구 감지길 110,(동삼동),6,14,129.0764900502,35.0625336062,A01,A0101,A01011200,,,20211202224528,20240913101210,49126,26,200,NA,NA02,NA020900,,,6
294452,12,감천사(부산),부산광역시 연제구 묘봉산로 40,(연산동),6,13,129.0912632411,35.1833036953,A02,A0201,A02010800,,http://tong.visitkorea.or.kr/cms/resource/20/3476820_image2_1.jpg,20071127012214,20250424114002,47582,26,470,HS,HS03,HS030100,http://tong.visitkorea.or.kr/cms/resource/20/3476820_image3_1.jpg,Type3,6
2869158,39,감포참가자미,부산광역시 동구 범일로102번길 16-20 (범일동),,6,5,129.0610587668,35.1383498379,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/32/2869132_image2_1.jpg,20221018141453,20250829093536,48744,26,170,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/32/2869132_image3_1.jpg,Type3,6
2872626,39,강호중마라도물회,부산광역시 강서구 녹산화전로 283 (녹산동),,6,1,128.8722536946,35.1120076519,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/15/2872615_image2_1.JPG,20221021145458,20250708105911,46734,26,440,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/15/2872615_image3_1.JPG,Type3,6
