area_no,district,town
2600000000,,
2611000000,중구,
2611051000,중구,중앙동
2611052000,중구,동광동
2611053000,중구,대청동
2611054500,중구,보수동
2611056000,중구,부평동
2611057000,중구,광복동
2611058000,중구,남포동
2611059000,중구,영주제1동
2611060000,중구,영주제2동
2614000000,서구,
2614051000,서구,동대신제1동
2614052000,서구,동대신제2동
2614053000,서구,동대신제3동
2614054000,서구,서대신제1동
2614056000,서구,서대신제3동
2614057000,서구,서대신제4동
2614059000,서구,부민동
2614061500,서구,아미동
2614063000,서구,초장동
2614064000,서구,충무동
2614065000,서구,남부민제1동
2614066000,서구,남부민제2동
2614068000,서구,암남동
2617000000,동구,
2617051000,동구,초량제1동
2617052000,동구,초량제2동
2617053000,동구,초량제3동
2617055000,동구,초량제6동
2617056000,동구,수정제1동
2617057000,동구,수정제2동
2617059000,동구,수정제4동
2617060000,동구,수정제5동
2617064500,동구,좌천동
2617065000,동구,범일제1동
2617066000,동구,범일제2동
2617068000,동구,범일제5동
2620000000,영도구,
2620053000,영도구,남항동
2620054000,영도구,영선제1동
2620055000,영도구,영선제2동
2620058500,영도구,신선동
2620059000,영도구,봉래제1동
2620060500,영도구,봉래제2동
2620063000,영도구,청학제1동
2620064000,영도구,청학제2동
2620065000,영도구,동삼제1동
2620066000,영도구,동삼제2동
2620067000,영도구,동삼제3동
2623000000,부산진구,
2623051000,부산진구,부전제1동
2623052000,부산진구,부전제2동
2623054000,부산진구,연지동
2623055000,부산진구,초읍동
2623056000,부산진구,양정제1동
2623057000,부산진구,양정제2동
2623060000,부산진구,전포제1동
2623061000,부산진구,전포제2동
2623064000,부산진구,부암제1동
2623066000,부산진구,부암제3동
2623067000,부산진구,당감제1동
2623068000,부산진구,당감제2동
2623070000,부산진구,당감제4동
2623071000,부산진구,가야제1동
2623072000,부산진구,가야제2동
2623074000,부산진구,개금제1동
2623075000,부산진구,개금제2동
2623076000,부산진구,개금제3동
2623077000,부산진구,범천제1동
2623078000,부산진구,범천제2동
2626000000,동래구,
2626051000,동래구,수민동
2626052000,동래구,복산동
2626054500,동래구,명륜동
2626055000,동래구,온천제1동
2626056000,동래구,온천제2동
2626057000,동래구,온천제3동
2626058000,동래구,사직제1동
2626059000,동래구,사직제2동
2626060000,동래구,사직제3동
2626074000,동래구,안락제1동
2626075000,동래구,안락제2동
2626076100,동래구,명장제1동
2626076200,동래구,명장제2동
2629000000,남구,
2629051000,남구,대연제1동
2629053000,남구,대연제3동
2629054000,남구,대연제4동
2629055000,남구,대연제5동
2629056000,남구,대연제6동
2629057000,남구,용호제1동
2629058000,남구,용호제2동
2629059000,남구,용호제3동
2629060000,남구,용호제4동
2629061000,남구,용당동
2629062000,남구,감만제1동
2629063000,남구,감만제2동
2629064500,남구,우암동
2629068000,남구,문현제1동
2629069000,남구,문현제2동
2629070000,남구,문현제3동
2629071000,남구,문현제4동
2632000000,북구,
2632051000,북구,구포제1동
2632052000,북구,구포제2동
2632052100,북구,구포제3동
2632053000,북구,금곡동
2632054100,북구,화명제1동
2632054200,북구,화명제2동
2632054300,북구,화명제3동
2632055000,북구,덕천제1동
2632056000,북구,덕천제2동
2632056100,북구,덕천제3동
2632057100,북구,만덕제1동
2632057200,북구,만덕제2동
2632057300,북구,만덕제3동
2635000000,해운대구,
2635051000,해운대구,우제1동
2635052000,해운대구,우제2동
2635052500,해운대구,우제3동
2635053000,해운대구,중제1동
2635054000,해운대구,중제2동
2635055100,해운대구,좌제1동
2635055200,해운대구,좌제2동
2635055300,해운대구,좌제3동
2635055400,해운대구,좌제4동
2635056000,해운대구,송정동
2635057000,해운대구,반여제1동
2635058000,해운대구,반여제2동
2635059000,해운대구,반여제3동
2635059500,해운대구,반여제4동
2635061000,해운대구,반송제1동
2635062000,해운대구,반송제2동
2635065000,해운대구,재송제1동
