grid_x,grid_y,lat,lon
1377,872,34.882587,128.7682
1378,872,34.882427,128.77377
1379,872,34.882267,128.77934
1380,872,34.88211,128.78491
1381,872,34.88195,128.79047
1382,872,34.88179,128.79604
1383,872,34.88163,128.8016
1384,872,34.88147,128.80716
1385,872,34.881306,128.81273
1386,872,34.881145,128.8183
1387,872,34.880985,128.82387
1388,872,34.88082,128.82942
1389,872,34.88066,128.83499
1377,873,34.887173,128.7684
1378,873,34.887012,128.77397
1379,873,34.886856,128.77953
1380,873,34.886696,128.7851
1381,873,34.886536,128.79066
1382,873,34.886375,128.79623
1383,873,34.886215,128.8018
1384,873,34.886055,128.80736
1385,873,34.885895,128.81293
1386,873,34.88573,128.8185
1387,873,34.88557,128.82405
1388,873,34.885406,128.82962
1389,873,34.885246,128.83519
1390,873,34.885082,128.84076
1391,873,34.884922,128.84631
1392,873,34.884758,128.85188
1393,873,34.884594,128.85745
1394,873,34.88443,128.86302
1395,873,34.884266,128.86858
1396,873,34.8841,128.87415
1397,873,34.883938,128.87971
1398,873,34.88377,128.88528
1399,873,34.883606,128.89084
1400,873,34.88344,128.89641
1401,873,34.883274,128.90198
1402,873,34.883106,128.90753
1403,873,34.88294,128.9131
1404,873,34.882774,128.91867
1405,873,34.882607,128.92424
1406,873,34.88244,128.9298
1407,873,34.88227,128.93536
1408,873,34.882103,128.94093
1409,873,34.88193,128.94649
1410,873,34.881763,128.95206
1411,873,34.881596,128.95763
1412,873,34.881424,128.96318
1413,873,34.881256,128.96875
1414,873,34.881084,128.97432
1415,873,34.880913,128.97989
1416,873,34.88074,128.98544
1417,873,34.880573,128.99101
1377,874,34.891758,128.7686
1378,874,34.8916,128.77415
1379,874,34.89144,128.77972
1380,874,34.89128,128.7853
1381,874,34.89112,128.79086
1382,874,34.89096,128.79643
1383,874,34.8908,128.80199
1384,874,34.89064,128.80756
1385,874,34.89048,128.81313
1386,874,34.89032,128.8187
1387,874,34.890156,128.82425
1388,874,34.889996,128.82982
1389,874,34.88983,128.83539
1390,874,34.889668,128.84096
1391,874,34.889507,128.84651
1392,874,34.889343,128.85208
1393,874,34.88918,128.85765
1394,874,34.889015,128.86322
1395,874,34.88885,128.86877
1396,874,34.888687,128.87434
1397,874,34.888523,128.87991
1398,874,34.888355,128.88548
1399,874,34.88819,128.89104
1400,874,34.888027,128.8966
1401,874,34.88786,128.90218
1402,874,34.88769,128.90775
1403,874,34.887527,128.9133
1404,874,34.88736,128.91887
1405,874,34.88719,128.92444
1406,874,34.887024,128.93001
1407,874,34.886856,128.93556
1408,874,34.88669,128.94113
1409,874,34.88652,128.9467
1410,874,34.88635,128.95227
1411,874,34.88618,128.95782
1412,874,34.88601,128.9634
1413,874,34.88584,128.96896
1414,874,34.88567,128.97452
1415,874,34.885498,128.98009
1416,874,34.88533,128.98566
1417,874,34.88516,128.99123
1418,874,34.884987,128.99678
1419,874,34.884815,129.00235
1420,874,34.884644,129.00792
1421,874,34.884468,129.01347
1422,874,34.884296,129.01904
1423,874,34.884125,129.02461
1424,874,34.88395,129.03017
1425,874,34.883778,129.03574
1426,874,34.883602,129.0413
1427,874,34.883427,129.04688
1428,874,34.88325,129.05243
1429,874,34.883076,129.058
1430,874,34.8829,129.06357
1431,874,34.882725,129.06912
1432,874,34.88255,129.07469
1433,874,34.882374,129.08026
1434,874,34.8822,129.08582
1435,874,34.88202,129.09138
1436,874,34.881844,129.09695
1437,874,34.881664,129.10251
1438,874,34.88149,129.10808
1439,874,34.88131,129.11365
1440,874,34.88113,129.1192
1441,874,34.88095,129.12477
1442,874,34.88077,129.13034
1443,874,34.880592,129.1359
1377,875,34.896347,128.76878
1378,875,34.896187,128.77435
1379,875,34.896027,128.77992
1380,875,34.895866,128.78549
1381,875,34.895706,128.79105
1382,875,34.89555,128.79662
1383,875,34.895386,128.80219
1384,875,34.895226,128.80775
1385,875,34.895065,128.81332
1386,875,34.894905,128.81888
1387,875,34.89474,128.82445
1388,875,34.89458,128.83002
1389,875,34.894417,128.83559
1390,875,34.894257,128.84116
1391,875,34.894093,128.84671
1392,875,34.89393,128.85228
1393,875,34.893764,128.85785
1394,875,34.8936,128.86342
1395,875,34.893436,128.86899
1396,875,34.893272,128.87454
1397,875,34.89311,128.88011
1398,875,34.892944,128.88568
1399,875,34.892776,128.89125
1400,875,34.892612,128.8968
1401,875,34.892445,128.90237
1402,875,34.89228,128.90794
1403,875,34.892113,128.91351
1404,875,34.891945,128.91907
1405,875,34.891777,128.92464
1406,875,34.89161,128.9302
1407,875,34.89144,128.93578
1408,875,34.891273,128.94133
1409,875,34.891106,128.9469
1410,875,34.890934,128.95247
1411,875,34.890766,128.95804
1412,875,34.890594,128.9636
1413,875,34.890427,128.96916
1414,875,34.890255,128.97473
1415,875,34.890087,128.9803
1416,875,34.889915,128.98586
1417,875,34.889744,128.99142
1418,875,34.889572,128.997
1419,875,34.8894,129.00256
1420,875,34.88923,129.00812
1421,875,34.889053,129.01369
1422,875,34.88888,129.01926
1423,875,34.88871,129.02483
1424,875,34.888535,129.03038
1425,875,34.888363,129.03595
1426,875,34.888187,129.04152
1427,875,34.888012,129.04707
1428,875,34.887836,129.05264
1429,875,34.887665,129.05821
1430,875,34.88749,129.06378
1431,875,34.88731,129.06934
1432,875,34.887135,129.0749
1433,875,34.88696,129.08047
1434,875,34.886784,129.08603
1435,875,34.886604,129.0916
1436,875,34.88643,129.09717
1437,875,34.88625,129.10274
1438,875,34.886074,129.10829
1439,875,34.885895,129.11386
1440,875,34.885715,129.11943
